local_path,remote_path,suffix,size_bytes,n_columns,columns_preview,n_lines
data/raw_remote/arcdev/data/qneuromark/Data/SZ_JH/Data_info/neuropsychological_test.csv,/data/qneuromark/Data/SZ_JH/Data_info/neuropsychological_test.csv,.csv,17686,11,id|subject|visit|IQ|Processing_Speed|Attention_Memory|Verbal_Memory|Visual_Memory|Ideational_Fluency|Executive_Function|Composite_Score,181
data/raw_remote/arcdev/data/qneuromark/Data/SZ_JH/Data_info/sans_saps.csv,/data/qneuromark/Data/SZ_JH/Data_info/sans_saps.csv,.csv,4254,14,id|subject|year|hallucination|delusion|bizarre_behaviour|PFTD|affective_flattening|alogia|avolition|anhedonia|attention|saps_total|sans_total,89
data/raw_remote/arcdev/data/users1/ywei/data/ABCD/fmri/descriptors/fc_self_descriptors.csv,/data/users1/ywei/data/ABCD/fmri/descriptors/fc_self_descriptors.csv,.csv,29263436,87,Cont-Cont|Cont-Default|Cont-DorsAttn|Cont-Limbic|Cont-SalVentAttn|Cont-SomMot|Cont-Vis|Default-Default|Default-DorsAttn|Default-Limbic|Default-SalVentAttn|Default-SomMot|Default-Vis|DorsAttn-DorsAttn|DorsAttn-Limbic|DorsAttn-SalVentAttn|DorsAttn-SomMot|DorsAttn-Vis|Limbic-Limbic|Limbic-SalVentAttn|Limbic-SomMot|Limbic-Vis|SalVentAttn-SalVentAttn|SalVentAttn-SomMot|SalVentAttn-Vis|SomMot-SomMot|SomMot-Vis|Vis-Vis|subject_id|session_id|Cont-Cont_z|Cont-Default_z|Cont-DorsAttn_z|Cont-Limbic_z|Cont-SalVentAttn_z|Cont-SomMot_z|Cont-Vis_z|Default-Default_z|Default-DorsAttn_z|Default-Limbic_z,19408
data/raw_remote/arcdev/data/users1/ywei/data/ABCD/fmri/descriptors/ica_dyno_descriptors.csv,/data/users1/ywei/data/ABCD/fmri/descriptors/ica_dyno_descriptors.csv,.csv,12675860,33,subject_id|session_id|summary|Subcortical_autocorr_lag1|Auditory_autocorr_lag1|Sensorimotor_autocorr_lag1|Visual_autocorr_lag1|Cognitive Control_autocorr_lag1|Default Mode_autocorr_lag1|Cerebellar_autocorr_lag1|autocorr_lag1_ave|Subcortical_autocorr_lag1_z|Auditory_autocorr_lag1_z|Sensorimotor_autocorr_lag1_z|Visual_autocorr_lag1_z|Cognitive Control_autocorr_lag1_z|Default Mode_autocorr_lag1_z|Cerebellar_autocorr_lag1_z|autocorr_lag1_ave_z|Subcortical|Auditory|Sensorimotor|Visual|Cognitive Control|Default Mode|Cerebellar|Subcortical_z|Auditory_z|Sensorimotor_z|Visual_z|Cognitive Control_z|Default Mode_z|Cerebellar_z,18838
data/raw_remote/arcdev/data/users1/ywei/data/ABCD/fmri/descriptors/region_self_descriptors.csv,/data/users1/ywei/data/ABCD/fmri/descriptors/region_self_descriptors.csv,.csv,19741375,79,subject_id|session_id|summary|Vis at left hemisphere|SomMot at left hemisphere|DorsAttn at left hemisphere postcentr|DorsAttn at left hemisphere frontal e|DorsAttn at left hemisphere ventral p|SalVentAttn at left hemisphere pariet|SalVentAttn at left hemisphere tempor|SalVentAttn at left hemisphere fronta|SalVentAttn at left hemisphere|SalVentAttn at left hemisphere medial|Limbic at left hemisphere orbitofront|Limbic at left hemisphere temporal po|Cont at left hemisphere parietal cort|Cont at left hemisphere temporal cort|Cont at left hemisphere orbitofrontal|Cont at left hemisphere|Default at left hemisphere temporal c|Default at left hemisphere parietal c|Default at left hemisphere prefrontal|Default at left hemisphere precuneus |Vis at right hemisphere|SomMot at right hemisphere|DorsAttn at right hemisphere postcent|DorsAttn at right hemisphere frontal |DorsAttn at right hemisphere ventral |SalVentAttn at right hemisphere tempo|SalVentAttn at right hemisphere|SalVentAttn at right hemisphere front|SalVentAttn at right hemisphere media|Limbic at right hemisphere orbitofron|Limbic at right hemisphere temporal p|Cont at right hemisphere parietal cor|Cont at right hemisphere temporal cor|Cont at right hemisphere|Default at right hemisphere parietal |Default at right hemisphere temporal |Default at right hemisphere,18838
data/raw_remote/arcdev/data/users1/ywei/data/ABCD/fmri/metadata.csv,/data/users1/ywei/data/ABCD/fmri/metadata.csv,.csv,759521,11,subject_id|session_id|sex|age|fluid_composite|blood_pressure|height|weight|had_adhd|had_schizophrenia|had_asd,10392
data/raw_remote/arcdev/data/users1/ywei/data/ABIDE2/fmri/descriptors/fc_self_descriptors.csv,/data/users1/ywei/data/ABIDE2/fmri/descriptors/fc_self_descriptors.csv,.csv,1722431,87,Cont-Cont|Cont-Default|Cont-DorsAttn|Cont-Limbic|Cont-SalVentAttn|Cont-SomMot|Cont-Vis|Default-Default|Default-DorsAttn|Default-Limbic|Default-SalVentAttn|Default-SomMot|Default-Vis|DorsAttn-DorsAttn|DorsAttn-Limbic|DorsAttn-SalVentAttn|DorsAttn-SomMot|DorsAttn-Vis|Limbic-Limbic|Limbic-SalVentAttn|Limbic-SomMot|Limbic-Vis|SalVentAttn-SalVentAttn|SalVentAttn-SomMot|SalVentAttn-Vis|SomMot-SomMot|SomMot-Vis|Vis-Vis|subject_id|session_id|Cont-Cont_z|Cont-Default_z|Cont-DorsAttn_z|Cont-Limbic_z|Cont-SalVentAttn_z|Cont-SomMot_z|Cont-Vis_z|Default-Default_z|Default-DorsAttn_z|Default-Limbic_z,1114
data/raw_remote/arcdev/data/users1/ywei/data/ABIDE2/fmri/descriptors/ica_dyno_descriptors.csv,/data/users1/ywei/data/ABIDE2/fmri/descriptors/ica_dyno_descriptors.csv,.csv,46017,3,subject_id|session_id|summary,420
data/raw_remote/arcdev/data/users1/ywei/data/ABIDE2/fmri/descriptors/region_self_descriptors.csv,/data/users1/ywei/data/ABIDE2/fmri/descriptors/region_self_descriptors.csv,.csv,205322,3,subject_id|session_id|summary,1114
data/raw_remote/arcdev/data/users1/ywei/data/ABIDE2/fmri/metadata.csv,/data/users1/ywei/data/ABIDE2/fmri/metadata.csv,.csv,58368,8,subject_id|diagnosis|age|sex|FIQ|VIQ|PIQ|session_id,1115
